ParentTermID,Count,Percent,ParentTermDescription,Ontology,EnrichedGOIDs,Term,Annotated,Significant,Expected,weightFisher,Class,GeneList,Cluster
NA,NA,NA,NA,BP,GO:0006508,proteolysis,434,6,2.03,0.036,Biological_Process,"pdam_00001159,pdam_00001390,pdam_00001432,pdam_00002081,pdam_00002138,pdam_00002461,pdam_00002495,pdam_00003566,pdam_00003613,pdam_00003938,pdam_00004725,pdam_00005565,pdam_00005566,pdam_00006084,pdam_00006251,pdam_00008001,pdam_00008675,pdam_00008709,pdam_00008853,pdam_00009262,pdam_00009414,pdam_00009504,pdam_00009518,pdam_00010542,pdam_00010905,pdam_00011234,pdam_00011419,pdam_00012255,pdam_00013185,pdam_00013395,pdam_00014018,pdam_00014407,pdam_00015015,pdam_00016089,pdam_00016091,pdam_00016092,pdam_00016094,pdam_00016095,pdam_00016686,pdam_00016719,pdam_00017946,pdam_00018900,pdam_00019849,pdam_00019991,pdam_00020697,pdam_00021239,pdam_00021523,pdam_00022018,pdam_00023261,pdam_00023828,pdam_00024230",Cluster_2
GO:0006629,1,12.5,lipid metabolic process,BP,GO:0006633,fatty acid biosynthetic process,6,1,0.04,0.04004,Biological_Process,pdam_00004859,Cluster_3
GO:0006790,1,12.5,sulfur compound metabolic process,BP,GO:0006084,acetyl-CoA metabolic process,6,1,0.04,0.04004,Biological_Process,"pdam_00009108,pdam_00020215",Cluster_3
GO:0007031,1,12.5,peroxisome organization,BP,GO:0072663,establishment of protein localization to peroxisome,6,1,0.04,0.04004,Biological_Process,pdam_00021033,Cluster_3
GO:0023052,2,25,signaling,BP,GO:0007250,activation of NF-kappaB-inducing kinase activity,26,2,0.18,0.01319,Biological_Process,"pdam_00024639,pdam_00024941",Cluster_3
GO:0023052,2,25,signaling,BP,GO:0046330,positive regulation of JNK cascade,26,2,0.18,0.01319,Biological_Process,"pdam_00024639,pdam_00024941",Cluster_3
GO:0055086,2,25,nucleobase-containing small molecule metabolic process,BP,GO:0009262,deoxyribonucleotide metabolic process,5,1,0.03,0.03348,Biological_Process,pdam_00004554,Cluster_3
GO:0055086,2,25,nucleobase-containing small molecule metabolic process,BP,GO:0006084,acetyl-CoA metabolic process,6,1,0.04,0.04004,Biological_Process,"pdam_00009108,pdam_00020215",Cluster_3
GO:1901135,1,12.5,carbohydrate derivative metabolic process,BP,GO:0009262,deoxyribonucleotide metabolic process,5,1,0.03,0.03348,Biological_Process,pdam_00004554,Cluster_3
GO:0003824,5,45.45454545454545,catalytic activity,MF,GO:0003899,DNA-directed 5'-3' RNA polymerase activity,26,2,0.18,0.014,Molecular_Function,"pdam_00008622,pdam_00019824,pdam_00020529,pdam_00022448",Cluster_3
GO:0003824,5,45.45454545454545,catalytic activity,MF,GO:0016624,"oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor",5,1,0.04,0.035,Molecular_Function,pdam_00020215,Cluster_3
GO:0003824,5,45.45454545454545,catalytic activity,MF,GO:0008168,methyltransferase activity,102,3,0.72,0.036,Molecular_Function,"pdam_00000586,pdam_00004554,pdam_00005719,pdam_00010826,pdam_00014187,pdam_00017188,pdam_00021666",Cluster_3
GO:0003824,5,45.45454545454545,catalytic activity,MF,GO:0016790,thiolester hydrolase activity,7,1,0.05,0.049,Molecular_Function,pdam_00015712,Cluster_3
