"genes","cluster","intersection_group"
"pdam_00017275",22,"Wounded 4h"
"pdam_00024503",21,"Wounded 4h"
"pdam_00015403",21,"Wounded 4h"
"pdam_00015149",21,"Wounded 4h"
"pdam_00024388",22,"Wounded 4h"
"pdam_00017201",21,"Wounded 4h"
"pdam_00004615",22,"Wounded 4h"
"pdam_00007763",22,"Wounded 4h"
"pdam_00000413",22,"Wounded 4h"
"pdam_00022448",22,"Wounded 4h"
"pdam_00025503",22,"Wounded 4h"
"pdam_00012091",21,"Wounded 4h"
"pdam_00018669",22,"Wounded 4h"
"pdam_00014171",21,"Wounded 4h"
"pdam_00010012",22,"Wounded 4h"
"pdam_00013882",22,"Wounded 4h"
"pdam_00008373",21,"Wounded 4h"
"pdam_00001557",21,"Wounded 4h"
"pdam_00021437",22,"Wounded 4h"
"pdam_00023141",21,"Wounded 4h"
"pdam_00007493",22,"Wounded 4h"
"pdam_00010693",21,"Wounded 4h"
"pdam_00010655",21,"Wounded 4h"
"pdam_00016288",22,"Wounded 4h"
"pdam_00017587",22,"Wounded 4h"
"pdam_00008004",22,"Wounded 4h"
"pdam_00007999",21,"Wounded 4h"
"pdam_00020449",21,"Wounded 4h"
"pdam_00003642",22,"Wounded 4h"
"pdam_00023485",21,"Wounded 4h"
"pdam_00002139",21,"Wounded 4h"
"pdam_00002213",22,"Wounded 4h"
"pdam_00002162",21,"Wounded 4h"
"pdam_00018614",22,"Wounded 4h"
"pdam_00000679",22,"Wounded 4h"
"pdam_00000555",22,"Wounded 4h"
"pdam_00014474",22,"Wounded 4h"
"pdam_00019388",22,"Wounded 4h"
"pdam_00019379",22,"Wounded 4h"
"pdam_00021336",22,"Wounded 4h"
"pdam_00005490",22,"Wounded 4h"
"pdam_00020588",22,"Wounded 4h"
"pdam_00005348",22,"Wounded 4h"
"pdam_00010105",21,"Wounded 4h"
"pdam_00012869",21,"Wounded 4h"
"pdam_00019648",22,"Wounded 4h"
"pdam_00024777",22,"Wounded 4h"
"pdam_00015161",22,"Wounded 4h"
"pdam_00024803",22,"Wounded 4h"
"pdam_00022018",21,"Wounded 4h"
"pdam_00014715",21,"Wounded 4h"
"pdam_00015495",22,"Wounded 4h"
"pdam_00013325",21,"Wounded 4h"
"pdam_00020215",22,"Wounded 4h"
"pdam_00013711",21,"Wounded 4h"
"pdam_00020442",22,"Wounded 4h"
"pdam_00006592",15,"Wounded 4h"
"pdam_00022123",22,"Wounded 4h"
"pdam_00019281",15,"Wounded 4h"
"pdam_00014018",21,"Wounded 4h"
"pdam_00011451",22,"Wounded 4h"
"pdam_00023653",21,"Wounded 4h"
"pdam_00013943",22,"Wounded 4h"
"pdam_00006347",22,"Wounded 4h"
"pdam_00022847",21,"Wounded 4h"
"pdam_00021997",21,"Wounded 4h"
"pdam_00009534",21,"Wounded 4h"
"pdam_00009550",21,"Wounded 4h"
"pdam_00008912",22,"Wounded 4h"
"pdam_00008828",22,"Wounded 4h"
"pdam_00008853",21,"Wounded 4h"
"pdam_00008721",21,"Wounded 4h"
"pdam_00008304",22,"Wounded 4h"
"pdam_00022298",22,"Wounded 4h"
"pdam_00013106",22,"Wounded 4h"
"pdam_00022054",22,"Wounded 4h"
"pdam_00002262",22,"Wounded 4h"
"pdam_00002219",21,"Wounded 4h"
"pdam_00014288",21,"Wounded 4h"
"pdam_00010518",22,"Wounded 4h"
"pdam_00010542",22,"Wounded 4h"
"pdam_00004859",22,"Wounded 4h"
"pdam_00016598",21,"Wounded 4h"
"pdam_00013344",22,"Wounded 4h"
"pdam_00019683",21,"Wounded 4h"
"pdam_00024958",22,"Wounded 4h"
"pdam_00001390",22,"Wounded 4h"
"pdam_00001412",22,"Wounded 4h"
"pdam_00001456",22,"Wounded 4h"
"pdam_00011764",21,"Wounded 4h"
"pdam_00009344",22,"Wounded 4h"
"pdam_00009321",22,"Wounded 4h"
"pdam_00006440",22,"Wounded 4h"
"pdam_00002594",21,"Wounded 4h"
"pdam_00002651",22,"Wounded 4h"
"pdam_00002653",22,"Wounded 4h"
"pdam_00012938",22,"Wounded 4h"
"pdam_00003082",21,"Wounded 4h"
"pdam_00003122",21,"Wounded 4h"
"pdam_00005719",22,"Wounded 4h"
"pdam_00025815",22,"Wounded 4h"
"pdam_00020885",22,"Wounded 4h"
"pdam_00006271",22,"Wounded 4h"
"pdam_00012218",21,"Wounded 4h"
"pdam_00013531",21,"Wounded 4h"
"pdam_00013529",21,"Wounded 4h"
"pdam_00021033",22,"Wounded 4h"
"pdam_00003040",22,"Wounded 4h"
"pdam_00008603",21,"Wounded 4h"
"pdam_00024495",21,"Wounded 4h"
"pdam_00021552",22,"Wounded 4h"
"pdam_00015929",21,"Wounded 4h"
"pdam_00021503",21,"Wounded 4h"
"pdam_00021709",22,"Wounded 4h"
"pdam_00000926",22,"Wounded 4h"
"pdam_00000980",22,"Wounded 4h"
"pdam_00010825",15,"Wounded 4h"
"pdam_00005117",21,"Wounded 4h"
"pdam_00005129",21,"Wounded 4h"
"pdam_00018250",22,"Wounded 4h"
"pdam_00011995",21,"Wounded 4h"
"pdam_00010615",21,"Wounded 4h"
"pdam_00007314",22,"Wounded 4h"
"pdam_00005882",21,"Wounded 4h"
"pdam_00005912",22,"Wounded 4h"
"pdam_00012811",21,"Wounded 4h"
"pdam_00002572",22,"Wounded 4h"
"pdam_00002567",21,"Wounded 4h"
"pdam_00004340",22,"Wounded 4h"
"pdam_00017780",21,"Wounded 4h"
"pdam_00017759",22,"Wounded 4h"
"pdam_00020926",21,"Wounded 4h"
"pdam_00015385",22,"Wounded 4h"
"pdam_00006697",22,"Wounded 4h"
"pdam_00007817",21,"Wounded 4h"
"pdam_00015426",21,"Wounded 4h"
"pdam_00019824",22,"Wounded 4h"
