"Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Gene_Function","group"
"pdam_00021365",10277.1451934332,0.430665322481234,0.115150784258473,3.74001206552395,0.000184011421958971,0.0380280835565363,"rpl24: 60S ribosomal protein L24 (Gillichthys mirabilis)","Wounded_4 vs Control_4"
"pdam_00021632",473.296991191709,0.989542972580309,0.278976298367149,3.54705033500019,0.00038957015298173,0.0495992040428687,"unknown function","Wounded_4 vs Control_4"
"pdam_00021716",401.519287705756,-0.799960309957622,0.18593392609485,-4.30239024560553,1.68965374088241e-05,0.0119458519480386,"DPH7: Diphthine methyltransferase (Homo sapiens)","Wounded_4 vs Control_4"
"pdam_00022296",396.787832693727,-0.902300390470122,0.226393330033684,-3.98554317097538,6.73259344558382e-05,0.0210323087801227,"Tor1b: Torsin-1B (Mus musculus)","Wounded_4 vs Control_4"
"pdam_00022473",120.101073156073,1.71086858668296,0.409541627197413,4.17752060612451,2.94703972614579e-05,0.0158391228883376,"unknown function","Wounded_4 vs Control_4"
"pdam_00022757",437.736159942061,-0.908835451832817,0.210351702191557,-4.32055192500979,1.55639425924525e-05,0.0119458519480386,"unknown function","Wounded_4 vs Control_4"
"pdam_00022994",338.520168041154,-0.844721182312679,0.204646739286655,-4.12770408782058,3.66403196107621e-05,0.0177815357367676,"unknown function","Wounded_4 vs Control_4"
"pdam_00023043",60.2048753419801,1.32916799176231,0.362714843026613,3.66449848225478,0.000247823709417948,0.04343860947833,"GGT1: Gamma-glutamyltranspeptidase 1 (Sus scrofa)","Wounded_4 vs Control_4"
"pdam_00023245",306.304643940677,-1.36589497055534,0.341727905961901,-3.99702496262516,6.41435392222576e-05,0.0209631397561214,"unknown function","Wounded_4 vs Control_4"
"pdam_00023272",89.049863122542,-2.36086528166798,0.581969389615414,-4.05668291802792,4.97745830337151e-05,0.0196989300812749,"unknown function","Wounded_4 vs Control_4"
"pdam_00023274",52.1064920267687,-2.25256867202625,0.544837657570544,-4.13438506080977,3.55906317952389e-05,0.0177815357367676,"Nrg2: Pro-neuregulin-2%2C membrane-bound isoform (Rattus norvegicus)","Wounded_4 vs Control_4"
"pdam_00023828",181.532807104073,-1.10075732838332,0.218633999324445,-5.03470334799043,4.78589398294067e-07,0.00128577827745684,"SENP8: Sentrin-specific protease 8 (Homo sapiens)","Wounded_4 vs Control_4"
"pdam_00024190",88.1486536305644,1.28726818994466,0.320866563774787,4.01184895927073,6.02450419422409e-05,0.0205920635154077,"DMBT1: Deleted in malignant brain tumors 1 protein (Homo sapiens)","Wounded_4 vs Control_4"
